name	version	source	primary_reachability	reachable_in_roots	root_tiers	also_dev	also_foreign_target
concurrent-queue	2.5.0	registry	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,B,C	true	true
console	0.15.11	registry	dev-bench-only			true	false
const-oid	0.9.6	registry	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop,sentinel-nightrun	A,C	false	false
const_format	0.2.35	registry	release-normal	sentinel-daemon	A	false	false
const_format_proc_macros	0.2.34	registry	release-build	sentinel-daemon	A	false	false
constant_time_eq	0.4.2	registry	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia	A,B	false	false
convert_case	0.10.0	registry	release-build	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,B,C	true	false
core-foundation	0.10.1	registry	target-only			false	true
core-foundation-sys	0.8.7	registry	target-only			false	true
cpp_demangle	0.4.5	registry	release-normal	sentinel-daemon	A	false	false
cpufeatures	0.2.17	registry	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun	A,B,C	false	true
cpufeatures	0.3.0	registry	release-normal	sentinel-daemon	A	false	false
cranelift-assembler-x64	0.132.3	registry	release-normal	sentinel-daemon	A	false	false
cranelift-assembler-x64-meta	0.132.3	registry	release-build	sentinel-daemon	A	false	false
cranelift-bforest	0.132.3	registry	release-normal	sentinel-daemon	A	false	false
cranelift-bitset	0.132.3	registry	release-normal	sentinel-daemon	A	false	false
cranelift-codegen	0.132.3	registry	release-normal	sentinel-daemon	A	false	false
cranelift-codegen-meta	0.132.3	registry	release-build	sentinel-daemon	A	false	false
cranelift-codegen-shared	0.132.3	registry	release-normal	sentinel-daemon	A	false	false
cranelift-control	0.132.3	registry	release-normal	sentinel-daemon	A	false	false
cranelift-entity	0.132.3	registry	release-normal	sentinel-daemon	A	false	false
cranelift-frontend	0.132.3	registry	release-normal	sentinel-daemon	A	false	false
cranelift-isle	0.132.3	registry	release-build	sentinel-daemon	A	false	false
cranelift-native	0.132.3	registry	release-normal	sentinel-daemon	A	false	false
cranelift-srcgen	0.132.3	registry	release-build	sentinel-daemon	A	false	false
crc32fast	1.5.0	registry	release-normal	sentinel-daemon	A	false	false
criterion	0.5.1	registry	dev-bench-only			true	false
criterion	0.8.2	registry	dev-bench-only			true	false
