name	version	source	native_normal_build	native_all_edges	all_targets_all_edges	native_dev_context	foreign_target_context
hmac	0.12.1	registry	true	true	true	false	false
home	0.5.12	registry	true	true	true	false	false
httlib-huffman	0.3.4	registry	true	true	true	false	false
http	1.4.0	registry	true	true	true	false	false
http-body	1.0.1	registry	true	true	true	false	false
http-body-util	0.1.3	registry	true	true	true	false	false
http-range-header	0.4.2	registry	true	true	true	false	false
httparse	1.10.1	registry	true	true	true	false	false
httpdate	1.0.3	registry	true	true	true	false	false
humantime	2.3.0	registry	true	true	true	false	false
hyper	1.8.1	registry	true	true	true	false	false
hyper-rustls	0.27.7	registry	true	true	true	false	false
hyper-util	0.1.20	registry	true	true	true	false	false
iana-time-zone	0.1.65	registry	true	true	true	false	false
iana-time-zone-haiku	0.1.2	registry	false	false	true	false	true
icu_collections	2.1.1	registry	true	true	true	false	false
icu_locale_core	2.1.1	registry	true	true	true	false	false
icu_normalizer	2.1.1	registry	true	true	true	false	false
icu_normalizer_data	2.1.1	registry	true	true	true	false	false
icu_properties	2.1.2	registry	true	true	true	false	false
icu_properties_data	2.1.2	registry	true	true	true	false	false
icu_provider	2.1.1	registry	true	true	true	false	false
id-arena	2.3.0	registry	true	true	true	false	false
ident_case	1.0.1	registry	true	true	true	false	false
idna	1.1.0	registry	true	true	true	false	false
idna_adapter	1.2.1	registry	true	true	true	false	false
indexmap	1.9.3	registry	false	false	false	false	false
indexmap	2.14.0	registry	true	true	true	true	true
inout	0.1.4	registry	true	true	true	false	false
insta	1.46.3	registry	false	true	true	true	false
io-extras	0.18.4	registry	true	true	true	false	true
io-lifetimes	2.0.4	registry	true	true	true	false	true
io-uring	0.7.11	registry	false	false	false	false	false
ipnet	2.11.0	registry	true	true	true	false	false
ipnetwork	0.20.0	registry	true	true	true	false	false
iri-string	0.7.10	registry	true	true	true	false	false
is-terminal	0.4.17	registry	false	true	true	true	false
is_terminal_polyfill	1.70.2	registry	true	true	true	true	false
itertools	0.10.5	registry	false	true	true	true	false
itertools	0.13.0	registry	false	true	true	true	false
itertools	0.14.0	registry	true	true	true	false	false
itoa	1.0.17	registry	true	true	true	true	false
ittapi	0.4.0	registry	true	true	true	false	false
ittapi-sys	0.4.0	registry	true	true	true	false	false
jni	0.21.1	registry	false	false	true	false	true
jni-sys	0.3.0	registry	false	false	true	false	true
jobserver	0.1.34	registry	true	true	true	true	true
js-sys	0.3.90	registry	false	false	true	false	true
json5	0.4.1	registry	true	true	true	false	false
keccak	0.1.6	registry	true	true	true	false	false
keyed-set	1.1.0	registry	true	true	true	false	false
landlock	0.4.4	registry	true	true	true	false	false
lazy_static	1.5.0	registry	true	true	true	true	true
leb128	0.2.5	registry	true	true	true	false	false
leb128fmt	0.1.0	registry	true	true	true	false	false
libc	0.2.186	registry	true	true	true	true	true
libloading	0.8.9	registry	true	true	true	false	false
libm	0.2.16	registry	true	true	true	true	false
libredox	0.1.12	registry	false	false	true	false	true
libsqlite3-sys	0.36.0	registry	true	true	true	true	false
linux-raw-sys	0.12.1	registry	true	true	true	true	false
litemap	0.8.1	registry	true	true	true	false	false
lock_api	0.4.14	registry	true	true	true	true	true
log	0.4.29	registry	true	true	true	true	true
loom	0.7.2	registry	false	false	false	false	false
lru-slab	0.1.2	registry	true	true	true	false	false
lz4_flex	0.11.6	registry	true	true	true	false	false
mach2	0.4.3	registry	false	false	true	false	true
matchers	0.2.0	registry	true	true	true	true	false
matchit	0.8.4	registry	true	true	true	false	false
maybe-owned	0.3.4	registry	true	true	true	false	false
memchr	2.8.0	registry	true	true	true	true	true
memfd	0.6.5	registry	true	true	true	false	false
memoffset	0.9.1	registry	true	true	true	false	false
mime	0.3.17	registry	true	true	true	false	false
mime_guess	2.0.5	registry	true	true	true	false	false
minimal-lexical	0.2.1	registry	true	true	true	false	false
miniz_oxide	0.8.9	registry	true	true	true	false	false
mio	1.2.1	registry	true	true	true	true	false
nanorand	0.7.0	registry	true	true	true	false	false
nix	0.29.0	registry	true	true	true	false	false
nix	0.30.1	registry	true	true	true	false	false
nkeys	0.4.5	registry	true	true	true	false	false
no-std-net	0.6.0	registry	true	true	true	false	false
nom	7.1.3	registry	true	true	true	false	false
nonempty-collections	0.3.1	registry	true	true	true	false	false
nonmax	0.5.5	registry	true	true	true	false	false
nu-ansi-term	0.50.3	registry	true	true	true	true	false
nuid	0.5.0	registry	true	true	true	false	false
num-bigint	0.4.6	registry	true	true	true	false	false
num-bigint-dig	0.8.6	registry	true	true	true	false	false
num-conv	0.2.0	registry	true	true	true	false	false
num-integer	0.1.46	registry	true	true	true	false	false
num-iter	0.1.45	registry	true	true	true	false	false
num-traits	0.2.19	registry	true	true	true	true	false
num_cpus	1.17.0	registry	true	true	true	false	false
num_enum	0.7.5	registry	true	true	true	false	false
num_enum_derive	0.7.5	registry	true	true	true	false	false
object	0.38.1	registry	true	true	true	false	false
object	0.39.1	registry	true	true	true	false	false
octets	0.3.5	registry	true	true	true	false	false
oid-registry	0.8.1	registry	true	true	true	false	false
once_cell	1.21.3	registry	true	true	true	true	true
